DOI,Printer ,Model,Bioink ,,,,,,,,,,,,Cell composition,,Needle ,,,Pressure ,,,,Temperature (°C),,,,Speed (mm/s),,Flow adjustment (s),,Crosslinking,,,,,,,,,,,Notes,
10.1088/1758-5090/8/2/025020,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,800,kPa,,,110,,,,1,,,,,,,,,,,,,80000,,Average MW of 80000 Da,
10.1089/ten.tec.2015.0307,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,800,kPa,,,75,,,,1,,,,,,,,,,,,,90000,48000,"PCL Mw 48,000 - 90,000. ",
10.1089/ten.tec.2015.0307,EnvisionTEC,3D-Bioplotter,Alginate,2.5,wt%,,,,,,,,,,Primary Embryonic Chick Chondrocytes,5.68,Conical,200,µm,10,kPa,,,10,,10,,25,,,,,,,,,,,,,,,Each alginate layer was partiallly crosslinked with aerosolized CaCl2 (170mM) during print,
10.1088/1758-5090/aaf44a,EnvisionTEC,3D-Bioplotter,Alginate,2.5,wt%,Hydroxyapatite,2,wt%,,,,,,,Primary Embryonic Chick Chondrocytes,1.57,Conical,250,µm,0.3,Bar,,,37,,,,17,14,,,,,,,,,,,,,,"The ink was printed into a crosslinking medium containing 100 mM CaCl2, 0.1% (w/v) PEI. HA was stabilized in bioink using sodium citrate.",
10.1088/1758-5090/aaf44a,EnvisionTEC,3D-Bioplotter,Alginate,2.5,wt%,Hydroxyapatite,1,wt%,,,,,,,Primary Embryonic Chick Chondrocytes,1.57,Conical,250,µm,0.3,Bar,,,37,,,,17,15,,,,,,,,,,,,,,"The ink was printed into a crosslinking medium containing 100 mM CaCl2, 0.1% (w/v) PEI. HA was stabilized in bioink using sodium citrate.",
10.1088/1758-5090/aacd30,EnvisionTEC,3D-Bioplotter,Alginate,1,wt%,Hyaluronic Acid,0.5,wt%,Fibrinogen,40,mg/ml,,,,Primary Rat Schwann Cells,1,Cylindrical,200,µm,30,kPa,,,22,,,,9,,,,,,,,,,,,,,,Printed in a bath of 20 mM CaCl2 + 10 U/ml thrombin,
http://ijb.whioce.com/index.php/int-j-bioprinting/article/view/02009,RegenHU,3D Discovery,Chitosan,2.5,wt%,Gelatin,5,wt%,,,,,,,,,Cylindrical,210,µm,2.4,Bar,,,27,,,,16.667,,,,,,,,,,,,,,,A polyelectrolyte complex was formed between the gelatin and chitosan,
10.1021/acs.biomaterials.8b00804,EnvisionTEC,3D-Bioplotter,Chitosan,4,wt%,,,,,,,,,,,,Cylindrical,580,µm,0.7,Bar,0.4,Bar,20,,,,20,10,,,,,,,,,,,,,,Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture.,
10.1021/acs.biomaterials.8b00804,EnvisionTEC,3D-Bioplotter,Chitosan,4,wt%,Silk Particles,2,wt%,,,,,,,,,Cylindrical,580,µm,0.7,Bar,0.4,Bar,20,,,,20,10,,,,,,,,,,,,,,Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture.,
10.1021/acs.biomaterials.8b00804,EnvisionTEC,3D-Bioplotter,Chitosan,4,wt%,Silk Particles,4,wt%,,,,,,,,,Cylindrical,580,µm,0.7,Bar,0.4,Bar,20,,,,20,10,,,,,,,,,,,,,,Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture.,
10.1021/acs.biomaterials.8b00804,EnvisionTEC,3D-Bioplotter,Chitosan,4,wt%,Silk Particles,12,wt%,,,,,,,,,Cylindrical,580,µm,0.7,Bar,0.4,Bar,20,,,,20,10,,,,,,,,,,,,,,Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture.,
10.1021/acs.biomac.9b01204,Anet,Anet A-8 Printer,Gelatin Norbornene,10,wt%,,,,,,,,,,NIH 3T3 Fibroblasts,2,Conical,18,Gauge,N/A,,,,22.5,,,,15,,,,,,,,,,,,,,,"The hydrogel was crosslinked with LAP (.1wt%, 5mW/cm2) concurrent with printing.",
10.1021/acs.biomac.9b01204,Anet,Anet A-8 Printer,Gelatin Methacrylated,10,wt%,,,,,,,,,,NIH 3T3 Fibroblasts,2,Conical,18,Gauge,N/A,,,,22.5,,,,15,,,,,,,,,,,,,,,"The hydrogel was crosslinked with LAP (.1wt%, 5mW/cm2) concurrent with printing.",
10.1016/j.biomaterials.2013.09.078,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,,,Cylindrical,30,Gauge,3,Bar,,,27.5,,,,7.5,,0.2,0.2,,,,,,,,,,,,VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2,
10.1016/j.biomaterials.2013.09.078,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,HEPG2 Liver Cells,1.5,Cylindrical,30,Gauge,3,Bar,,,24.5,,,,6.67,,0.1,0.2,,,,,,,,,,,,VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2,
10.1016/j.biomaterials.2013.09.078,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,HEPG2 Liver Cells,1.5,Cylindrical,27,Gauge,1,Bar,0.5,Bar,24.5,,,,10,,0.1,0.05,,,,,,,,,,,,VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2,
10.1016/j.biomaterials.2013.09.078,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,15,wt%,,,,,,,,,,,,Cylindrical,27,Gauge,4,Bar,,,28.5,,,,9.16,,0.2,0.2,,,,,,,,,,,,VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2,
10.1016/j.biomaterials.2013.09.078,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,20,wt%,,,,,,,,,,,,Cylindrical,27,Gauge,4,Bar,,,30,,,,9.16,,0.2,0.1,,,,,,,,,,,,VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2,
10.1016/j.actbio.2014.09.023,Other,Custom-made 3D printer,Gelatin,15,wt%,Silk Fibroin,8,wt%,,,,,,,Primary Human Nasal Inferior Turbinate Tissue-derived,2.5,Cylindrical,250,µm,250,kPa,200,kPa,28,,,18,1,,,,,,,,,,,,,,,Post-printing crosslinking occurred through either the use of tyrosinase addition or sonication.,
10.1016/j.actbio.2016.12.008,Other,Custom-made integrated tissue-organ printer,Fibrinogen,30,mg/ml,Gelatin,35,mg/ml,Hyaluronic Acid,3,mg/ml,,,,Primary Rabbit Bladder Urothelial Cells,10,Conical,300,µm,60,kPa,,,18,,,18,8.34,1.67,,,,,,,,,,,,,,The cell-laden hydrogel was printed into a urethra structure. Final crosslinking done with thrombin ,
10.1016/j.actbio.2016.12.008,Other,Custom-made integrated tissue-organ printer,Fibrinogen,30,mg/ml,Gelatin,35,mg/ml,Hyaluronic Acid,3,mg/ml,,,,Primary Rabbit Smooth Muscle Cells,10,Conical,300,µm,60,kPa,,,18,,,18,8.34,1.67,,,,,,,,,,,,,,The cell-laden hydrogel was printed into a urethra structure. Final crosslinking done with thrombin ,
10.1016/j.actbio.2016.12.008,Other,Custom-made integrated tissue-organ printer,PLCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,550,kPa,,,160,,,18,8.34,1.67,,,,,,,,,,,,,,PLCL LA:CL 70:30.,
10.1016/j.actbio.2016.12.008,Other,Custom-made integrated tissue-organ printer,PLCL,50,wt%,PCL,50,wt%,,,,,,,,,Cylindrical,200,µm,760,kPa,,,150,,,18,8.34,1.67,,,,,,,,,,,,50000,43000,"PLCL LA:CL 70:30.  PCL Mw 43000-50,000.",
10.1016/j.actbio.2016.12.008,Other,Custom-made integrated tissue-organ printer,PCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,760,kPa,,,98,,,18,8.34,1.67,,,,,,,,,,,,50000,43000,"PCL Mw 43000-50,000.",
10.1007/s10544-014-9915-8,Janome,Janome 2300N,Gelatin,5,wt%,,,,,,,,,,Human Umbilical Vein Endothelial Cells,5,Cylindrical,30,Gauge,50,kPa,,,24,,,,5,,,,Chemical,microbial transglutaminase (mTgase),3U/ml,,8,,,,,,,Gelatin crosslinked with microbial transglutaminase at 3U/mL,
10.1007/s10544-014-9915-8,Janome,Janome 2300N,Gelatin,5,wt%,,,,,,,,,,HEK293 Kidney Cells,5,Cylindrical,30,Gauge,50,kPa,,,24,,,,5,,,,Chemical,mTgase,3U/ml,,8,,,,,,,Gelatin crosslinked with microbial transglutaminase at 3U/mL,
10.1088/0960-1317/22/8/085014,Other,Multi-jead tissue/organ building system,PCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,400,kPa,,,80,,,,1.666666667,,,,,,,,,,,,,90000,70000,"PCL MW of 70,000 - 90,000. ",
10.1016/j.procir.2015.11.001,Other,Custom-designed additive manafacturing equipment,Pluronic F127,25,wt%,,,,,,,,,,Balb 3T3 Mouse Fibroblasts,1,Conical,200,µm,1.2,Bar,,,37,,37,,,,,,,,,,,,,,,,,,
10.1016/j.matdes.2018.09.040,Other,Custom-made Bioprinter,Gellan Gum,1.5,wt%,PEGDA,10,wt%,,,,,,,Cell Line MC3T3-E1 Osteoblasts,2,Cylindrical,25,Gauge,,,,,37,,,,10,,,,,,,,,,,,,,,"Constrcut crosslinked with I2959 (0.1 wt%, 50 mW/cm2, 180s) post print",
10.1016/j.matdes.2018.09.040,Other,Custom-made Bioprinter,Gellan Gum,1.5,wt%,PEGDA,10,wt%,,,,,,,Murine Bone Marrow Stromal Cells,2,Cylindrical,25,Gauge,,,,,37,,,,10,,,,,,,,,,,,,,,"Constrcut crosslinked with I2959 (0.1 wt%, 50 mW/cm2, 180s) post print",
10.1016/j.bprint.2020.e00085,Cellink,Inkredible +,Alginate,5,wt%,,,,,,,,,,,,Conical,203,µm,24,psi,,,20,,,,10,,,,,,,,,,,,,,,CaCl2 was co sprayed during printing to crosslink alginate,
10.1016/j.bprint.2020.e00085,Cellink,Inkredible +,Alginate,7,wt%,,,,,,,,,,,,Conical,203,µm,44,psi,,,20,,,,10,,,,,,,,,,,,,,,CaCl2 was co sprayed during printing to crosslink alginate,
10.1088/1758-5090/ab94d0,Cellink,Inkredible +,Alginate,1,wt%,Cellulose Nanofibrillated,2,wt%,,,,,,,PC-12 Cells,1,Cylindrical,500,µm,10,psi,2,psi,25,,,,1,,,,,,,,,,,,,,,Cured post print by exposure to 50 mM CaCl2 for 2 mins,
10.1088/1758-5090/ab94d0,Cellink,Inkredible +,Alginate,1,wt%,Cellulose Nanofibrillated,2,wt%,,,,,,,NIH 3T3 Fibroblasts,1,Cylindrical,500,µm,10,psi,2,psi,25,,,,1,,,,,,,,,,,,,,,Cured post print by exposure to 50 mM CaCl2 for 2 mins,
10.1088/1758-5090/ab94d0,Cellink,Inkredible +,Alginate,0.25,wt%,Cellulose Nanofibrillated,2,wt%,,,,,,,C57BL/6 Mouse Embryonic Stem Cells,1,Cylindrical,500,µm,10,psi,2,psi,25,,,,1,,,,,,,,,,,,,,,Cured post print by exposure to 50 mM CaCl2 for 2 mins,
10.1002/jbm.b.34602,Cellink,Inkredible +,Chitosan,4.5,wt%,,,,,,,,,,Human Fibroblasts,0.2,Cylindrical,22,Gauge,25,kPa,,,37,,,,10,,,,,,,,,,,,,,,,
10.1002/jbm.b.34602,Cellink,Inkredible +,Poly(gamma glutamic acid),2,wt%,,,,,,,,,,,,Cylindrical,25,Gauge,10,kPa,5,kPa,37,,,,10,,,,,,,,,,,,,,,,
10.1002/jbm.b.34602,Cellink,Inkredible +,Chitosan,6,wt%,,,,,,,,,,Human Fibroblasts,0.2,Cylindrical,22,Gauge,40,kPa,,,37,,,,10,,,,,,,,,,,,,,,,
10.1088/1748-605X/ab3c74,Cellink,Inkredible +,Alginate,0.8,wt%,Gelatin,4.1,wt%,Glycerol,10,%,,,,Human Mesenchymal Stem Cells,5,Cylindrical,27,Gauge,60,kPa,40,kPa,20,,20,,2,,,,,,,,,,,,,,,The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min ,
10.1088/1748-605X/ab3c74,Cellink,Inkredible +,Alginate,1.3,wt%,Gelatin,4.1,wt%,Glycerol,10,%,,,,Human Mesenchymal Stem Cells,5,Cylindrical,27,Gauge,60,kPa,40,kPa,20,,20,,2,,,,,,,,,,,,,,,The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min ,
10.1088/1748-605X/ab3c74,Cellink,Inkredible +,Alginate,1.8,wt%,Gelatin,4.1,wt%,Glycerol,10,%,,,,Human Mesenchymal Stem Cells,5,Cylindrical,27,Gauge,60,kPa,40,kPa,20,,20,,2,,,,,,,,,,,,,,,The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min ,
10.1088/1748-605X/ab3c74,Cellink,Inkredible +,Alginate,2.3,wt%,Gelatin,4.1,wt%,Glycerol,10,%,,,,Human Mesenchymal Stem Cells,5,Cylindrical,27,Gauge,60,kPa,40,kPa,20,,20,,2,,,,,,,,,,,,,,,The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min ,
10.3390/cells8080830,Cellink,Inkredible+,Alginate,6,wt%,Gelatin,4,wt%,,,,,,,Cell Line SH-SY5Y,0.05,Conical,410,µm,55,kPa,,,25,,,,10,,,,,,,,,,,,,,,Alginate crosslinked in 2% CaCl2 bath post-print,
10.3390/cells8080830,Cellink,Inkredible+,Alginate,6,wt%,Gelatin,4,wt%,,,,,,,Cell Line SH-SY5Y,0.05,Conical,410,µm,45,kPa,,,25,,,,10,,,,,,,,,,,,,,,Alginate crosslinked in 2% CaCl2 bath post-print,
10.3390/cells8080830,Cellink,Inkredible+,Alginate,6,wt%,Gelatin,4,wt%,,,,,,,Human Induced Pluripotent Stem Cells,2,Conical,410,µm,55,kPa,,,25,,,,10,,,,,,,,,,,,,,,Alginate crosslinked in 2% CaCl2 bath post-print,
10.3390/cells8080830,Cellink,Inkredible+,Alginate,4,wt%,Gelatin,4,wt%,,,,,,,Neural Stem Cells iPSC Differentiated,2,Conical,410,µm,55,kPa,,,25,,,,10,,,,,,,,,,,,,,,Alginate crosslinked in 2% CaCl2 bath post-print,
10.3390/gels5030034,Cellink,Inkredible+,Gelatin Methacrylated,10,wt%,,,,,,,,,,,,Conical,250,µm,57,kPa,50,kPa,25,,,,1.25,,,,,,,,,,,,,,,"The GelMA post-printing was crosslinked with only UV, or mTGase after UV crosslinking.",
10.1088/1758-5090/ab0b7c,Cellink,Inkredible+,Gelatin Methacrylated,5,wt%,Hydroxyapatite,0.5,wt%,Gelatin,5,wt%,,,,Primary Human Adipose-derived Mesenchymal Stem Cells,5,Conical,200,µm,125,kPa,,,23,,,,5,,,,,,,,,LAP,0.1 wt%,,,,,Crosslinked with LAP ,
10.1016/j.actbio.2014.09.033,regenHU ,BioFactory,Hyaluronic Acid pNIPAAM,15,wt%,Hyaluronic Acid Methacrylated,2,wt%,,,,,,,Primary Bovine Chondrocytes,6,Cylindrical,300,µm,1.5,Bar,,,23,,37,,8.333,,,,,,,,,LAP,0.05 wt%,10,6.09,,,,
10.1088/1758-5090/ab02c9,Cellink,Inkredible+,Pluronic F127 Thiolated,12,wt%,Hyaluronic Acid Dopamine Conjugated,1,wt%,Gelatin Dopamine Conjugated,2,wt%,,,,S16Y Schwann Cells,3.2,Conical,27,Gauge,10,psi,2,psi,37,,,,1,,,,Chemical,Ferric Nitrate,50mM,,2,,,,,,,Crosslinking was done post-processing,
10.1088/1758-5090/ab02c9,Cellink,Inkredible+,Pluronic F127 Thiolated,12,wt%,Hyaluronic Acid Dopamine Conjugated,1,wt%,Gelatin Methacrylated Dopamine Conjugated,5,wt%,,,,S16Y Schwann Cells,3.2,Conical,27,Gauge,10,psi,2,psi,37,,,,1,,,,,,,,,DMPA,.1 wt%,600,,,,Crosslinking was done post-processing,
10.1016/j.jmbbm.2017.09.031,Cellink,Inkredible+,Hyaluronic Acid,2,wt%,Methylcellulose,5,wt%,,,,,,,,,Cylindrical,23,Gauge,175,kPa,160,kPa,25,,37,,3,,,,,,,,,,,,,,,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated.",
10.1016/j.jmbbm.2017.09.031,Cellink,Inkredible+,Hyaluronic Acid,2,wt%,Methylcellulose,6,wt%,,,,,,,,,Cylindrical,23,Gauge,175,kPa,160,kPa,25,,37,,3,,,,,,,,,,,,,,,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated.",
10.1016/j.jmbbm.2017.09.031,Cellink,Inkredible+,Hyaluronic Acid,2,wt%,Methylcellulose,7,wt%,,,,,,,,,Cylindrical,23,Gauge,175,kPa,160,kPa,25,,37,,3,,,,,,,,,,,,,,,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated.",
10.1016/j.jmbbm.2017.09.031,Cellink,Inkredible+,Hyaluronic Acid,2,wt%,Methylcellulose,9,wt%,,,,,,,,,Cylindrical,23,Gauge,175,kPa,160,kPa,25,,37,,3,,,,,,,,,,,,,,,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated.",
10.1016/j.bprint.2017.09.001,Cellink,Inkredible+,Alginate,7,wt%,Gelatin,8,wt%,,,,,,,,,Cylindrical,30,Gauge,100,kPa,,,37,,,,3,,,,,,,,,,,,,,,The alginate/gelatin composite was optimized.,
10.1088/1758-5090/ab56f9,EnvisionTEC,3D-Bioplotter,Gelatin,15,wt%,,,,,,,,,,,,Cylindrical,25,Gauge,2.4,Bar,,,35,,4,,64,,0.08,0.08,Chemical,MBA,0.4wt%,20,2880,,,,,,,Crosslinking occurred post processing.,
10.1016/j.actbio.2019.01.018,Cellink,Inkredible+,Alginate,10,wt%,,,,,,,,,,,,Cylindrical,21,Gauge,20,kPa,,,25,,,,1,,,,,,,,,,,,,,,"Alginate was used as sacrifical template. Likewise, 100mM CaCl2 was pippetted on the printed filament and allowed to crosslink for 5 minutes.",
10.1038/s41467-020-16192,EnvisionTEC,3D-Bioplotter,Hyaluronic Acid Methacrylated,2,wt%,Gelatin Methacrylated,10,wt%,,,,,,.,,,Cylindrical,22,Gauge,80,kPa,,,25,,4,,28,,,,,,,,,Irgacure 2959,.5wt%,180,10,,,Poly-L-lysine and Heparin were coated on the surface of the 3D printed hydrogel scaffold. Crosslinking occurred post-proecsssing.,
10.7150/thno.44270,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,80,kPa,,,130,,,,7,,,,,,,,,,,,,80000,,"PCL Mol Wt = 80,000. PCL was immersed in silk fibroin solution and irradiated with gamma rays.",
10.1016/j.biomaterials.2020.119838,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,22,Gauge,4,Bar,,,180,,,,1,,,,,,,,,,,,,80000,,"PCL MW = 80,000",
10.1016/j.compscitech.2020.108069,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,6,Bar,,,130,,,,0.6,,0.45,0.1,,,,,,,,,,50000,,"PCL MW = 50,000. ",
10.1016/j.compscitech.2020.108069,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,Hydroxyapatite,10,wt%,,,,,,,,,Cylindrical,400,µm,6.2,Bar,,,130,,,,0.5,,0.8,0.1,,,,,,,,,,50000,,"PCL MW = 50,000",
10.1016/j.compscitech.2020.108069,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,Hydroxyapatite,7.54,wt%,Strontium,2.46,wt%,,,,,,Cylindrical,400,µm,6.2,Bar,,,130,,,,0.6,,0.75,0.1,,,,,,,,,,50000,,"PCL MW = 50,000. Strontium was added to the HA powder",
10.1016/j.compscitech.2020.108069,EnvisionTEC,3D-Bioplotter,PCL,80,wt%,Hydroxyapatite,20,wt%,,,,,,,,,Cylindrical,400,µm,6.4,Bar,,,140,,,,0.5,,0.75,0.1,,,,,,,,,,50000,,"PCL MW = 50,000",
10.1016/j.compscitech.2020.108069,EnvisionTEC,3D-Bioplotter,PCL,80,wt%,Hydroxyapatite,17.54,wt%,Strontium,2.46,wt%,,,,,,Cylindrical,400,µm,6.4,Bar,,,140,,,,0.6,,1,0.1,,,,,,,,,,50000,,"PCL MW = 50,000. Strontium was added to the HA powder",
10.1016/j.matlet.2019.126893,EnvisionTEC,3D-Bioplotter,Alginate,2.5,wt%,PLA Fibers,2,wt%,,,,,,,,,Cylindrical,21,Gauge,1,Bar,,,25,,,,25,,,,,,,,,,,,,,,After printing .2M CaCl2 was sprayed onto the hydrogel,
10.1016/j.matlet.2019.126893,EnvisionTEC,3D-Bioplotter,Alginate,4,wt%,Gelatin Methacrylated,6,wt%,Beta Tricalcium Phosphate,0.5,wt%,,,,,,Cylindrical,25,Gauge,,,,,36,,,,3.9,,,,,,,,,,,30,12,,,0.19M CaCl2 was used as sheath during coaxial printing. Bioink extrusion was at 5.1 uL/min,
10.1016/j.matlet.2019.126893,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,23,Gauge,6,Bar,,,115,,,,1,,,,,,,,,,,,,80000,,"PCL MW = 80,000",
10.1088/2057-1976/ab54a7,EnvisionTEC,3D-Bioplotter,Gelatin Methacrylated,10,wt%,Hyaluronic Acid Methacrylated,2,wt%,,,,,,,Bone Marrow-derived Mesenchymal Stem Cells,1,,200,µm,4,Bar,,,25,,,,8,,,,,,,,,LAP,0.1 wt%,10,10.3 or 19.9,,,,
10.1088/2057-1976/ab54a7,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,4.8,Bar,,,165,,,,1.4,,,,,,,,,,,,,45000,,"PCL MW = 45,000",
10.1088/2057-1976/ab54a7,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,4.8,Bar,,,155,,,,3.5,,,,,,,,,,,,,45000,,"PCL MW = 45,000",
10.1088/2057-1976/ab54a7,EnvisionTEC,3D-Bioplotter,Pluronic F127,,wt%,,,,,,,,,,,,Cylindrical,200,µm,4.2,Bar,,,30,,,,6,,,,,,,,,,,,,,,,
10.1088/2057-1976/ab54a7,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,4.8,Bar,,,155,,,,13,,,,,,,,,,,,,45000,,"PCL MW = 45,000",
10.1102/jbm.b.34542,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,500,kPa,,,130,,,,0.7,,1,,,,,,,,,,,80000,,"PCL MN = 80,000",
10.1102/jbm.b.34542,EnvisionTEC,3D-Bioplotter,PCL,80,wt%,Beta Tricalcium Phosphate ,20,wt%,,,,,,,,,Cylindrical,400,µm,500,kPa,,,160,,,,0.4,,1,1,,,,,,,,,,80000,,"PCL MN = 80,000",
10.3390/mi11010031,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,500,µm,700,kPa,,,80,,,,6,4,,,,,,,,,,,,55000,,"PCL MW = 55,000",
10.2217/3dp-2016-0011,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,22,Gauge,5,Bar,,,110,,,,5,,,,,,,,,,,,,90000,48000,"Average MN 45,000. Mol Wt = 48kDa - 90 kDa",
10.3892/mmr.2018.9076,EnvisionTEC,3D-Bioplotter,PCL,10,wt%,PLGA,90,wt%,,,,,,,,,Cylindrical,27,Gauge,650,kPa,,,135,,,,1.667,,,,,,,,,,,,,50000,,"PCL MW = 50,000; PLGA MW = 50,000 - 75,000 with a LA:GA of 50:50",
10.3892/mmr.2018.9076,EnvisionTEC,3D-Bioplotter,PCL,50,wt%,PLGA,50,wt%,,,,,,,,,Cylindrical,27,Gauge,650,kPa,,,135,,,,1.667,,,,,,,,,,,,,50000,,"PCL MW = 50,000; PLGA MW = 50,000 - 75,000 with a LA:GA of 50:50",
10.3892/mmr.2018.9076,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,PLGA,10,wt%,,,,,,,,,Cylindrical,27,Gauge,650,kPa,,,135,,,,1.667,,,,,,,,,,,,,50000,,"PCL MW = 50,000; PLGA MW = 50,000 - 75,000 with a LA:GA of 50:50",
10.3390/ma11061006,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,,,,6,Bar,,,130,,,,2.5,,0,0,,,,,,,,,,80000,10000,PCL consists of blend of PCL10 (10kDa) and PCL80 (80kDa) at a ratio of 40:60,
10.3390/ma11061006,EnvisionTEC,3D-Bioplotter,PVA,6,wt%,,,,,,,,,,,,,,,3.5,Bar,,,25,,,,2,,0,0,,,,,,,,,,,,"1ml of Acrylic acid was added to the solution and subsequently 100 mg N,N Methylenebisacrylamide was added.",
10.1016/j.acthis.2018.02.010,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,700,µm,6,Bar,,,130,,35,,2.3,,,,,,,,,,,,,90000,48000,"Average MN 45,000. Mol Wt = 48kDa - 90 kDa",
10.1016/j.actbio.2017.09.031,EnvisionTEC,3D-Bioplotter,PCL,66.6666,wt%,Calcium Polyphosphate Microparticles,33.3333,wt%,,,,,,,,,Cylindrical,400,µm,7.8,Bar,,,100,,,,3,,0.3,0.1,,,,,,,,,,50000,,"PCL MW = 50,000",
10.1016/j.actbio.2017.09.031,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,8,Bar,,,100,,,,1,,0.3,0.25,,,,,,,,,,50000,,"PCL MW = 50,000",
10.1002/jbm.b.33994,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,Hydroxyapatite ,10,wt%,,,,,,,,,Cylindrical,22,Gauge,3.5,Bar,3,Bar,120,,,,2.2,1.8,,,,,,,,,,,,65000,,"PCL MW = 65,000",
10.1016/j.bprint.2017.08.001,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,24,Gauge,6,Bar,,,110,,20,,1.4,,,,,,,,,,,,,50000,43000,50-43 kDA PCL,
10.3390/ma10070831,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,625,kPa,575,kPa,100,,,,1.333333333,,,,,,,,,,,,,50000,,PCL MW = 50kDa. The paper reports that the PCL was dispensed thorugh a steel nozzle at temperature > 100 °C.,
10.1039/c7ra04372d,EnvisionTEC,3D-Bioplotter,Hyaluronic Acid Methacrylated,1,wt%,Gelatin Methacrylated,4,wt%,Hyaluronic Acid,3,wt%,,,,Primary Porcine Stromal Vascular Fraction Cells,4,Cylindrical,22,Gauge,,,,,25,,,,,,,,,,,,,I2959,0.05 wt%,,,,,Construct crosslinked for 40s after print,
10.1039/c7ra04372d,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,Hydroxyapatite,10,wt%,,,,,,,,,Cylindrical,22,Gauge,3.5,Bar,3,Bar,120,,,,2.2,1.8,,,,,,,,,,,,65000,,"PCL MW = 65,000",
10.1016/j.bprint.2017.04.003,EnvisionTEC,3D-Bioplotter,Silicone,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,5,Bar,,,8,,,,6.2,,0.11,0,,,,,,,,,,,,,
10.1016/j.bprint.2017.04.003,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,5.6,Bar,,,80,,,,4,,-0.02,0,,,,,,,,,,14000,,"PCL MW = 14,000",
